1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0.49537,2.487,0.86948,2.7528,1.2179,1.1332,1.3106,6.5827,1.3349,1.3131,1.5391,1.8243,5.2852,5.6547,NA,2.2095,0.83406,3.3314,2.2092,6.6653,1.8306,2.3364,0.6356,3.1798,0.69419,2.6467,1.81,4.5443,5.5271,2.0171,1.838,1.485,NA,2.5635,4.0868,0.23519,0.6535,2.5973,NA,5.1985,NA,3.3964,0.72399,1.7312,0.80033,0.15752,1.8196,1.1466,1.9515,0.63202,4.9922,2.0913,0.54911,2.2575,0.53619,0.7828,1.4013,3.4643,0.88488,0.59313,1.7724,6.4967,6.9359,0.58577,0.32638,4.7305,2.535,0.80282,3.6327,4.1778,0.47497,3.168,0.40922,4.1168,3.8984,2.2287,1.5597,4.9306,0.56049,0.80199,1.8301,2.3645,2.5629,1.984,0.85981,0.48911,2.2773,0.77846,1.303,0.27833
1.4263,2.2624,2.0904,1.9443,3.0455,1.3713,1.885,1.4763,1.9951,2.165,1.7578,1.6713,1.5914,1.6033,1.7296,1.6487,1.4837,1.4557,1.6114,2.2901,1.3467,2.206,2.138,1.3062,1.2235,1.3865,1.1888,1.314,2.0442,1.827,1.2452,1.6402,2.0273,2.0661,1.577,2.4201,NA,1.6371,2.1306,2.1848,1.9809,1.2804,1.7548,1.492,1.3513,2.5021,1.6821,1.8265,1.2642,1.4038,2.2002,1.9246,2.2143,1.4623,1.7442,1.9293,1.1588,1.4232,1.0192,1.1811,1.6336,1.0939,1.3478,1.2719,1.1562,0.99322,0.90826,0.89697,1.172,1.1568,1.5267,1.1985,1.0143,1.0636,1.744,2.376,2.0814,1.1672,2.6597,1.1744,1.2544,2.1653,1.1696,1.777,1.0015,1.3171,1.1111,1.1657,1.9087,1.0121
0.98153,0.55848,0.60174,1.0692,0.6227,0.57635,0.45699,NA,0.28264,0.52317,0.4933,0.58841,0.2298,0.81753,0.50722,0.33994,0.36763,0.33409,0.47627,0.37239,0.53672,1.0429,0.44088,0.39528,0.40592,1.3419,0.41338,0.41508,0.2991,0.56652,0.92969,0.39,0.42847,0.33503,1.2854,0.33012,0.49482,0.46069,0.39253,0.70388,0.36444,NA,0.67672,0.61012,0.34666,0.41364,0.38424,0.54349,0.48482,0.60125,0.358,0.4338,0.34748,0.25419,0.28932,0.49262,0.50326,0.67976,0.45695,0.43773,0.16974,0.32815,0.3417,0.44737,0.73624,0.41562,0.56855,0.44468,NA,0.40778,NA,0.35399,0.54096,0.44784,0.36885,0.32842,0.34603,0.32163,0.29465,0.28893,0.30156,2.5827,0.26477,0.3157,0.4092,0.78592,0.49945,0.47608,0.92457,0.3732
1.1902,0.88626,0.7503,1.433,NA,1.1534,2.2249,0.61354,2.8591,1.4607,1.4813,3.5298,2.2931,2.3116,0.15049,1.8718,1.6526,2.6382,1.7289,2.4456,0.50568,3.8542,2.2645,1.9998,1.4433,0.63556,2.0802,1.4936,2.3369,1.4309,2.4268,0.7123,2.6688,0.61114,0.96886,2.6723,2.382,0.44408,0.4796,0.60433,0.39913,0.81032,1.0165,1.7664,3.7767,1.3817,2.8839,0.9249,0.74913,0.8812,0.53502,0.5167,2.2908,1.5102,1.2646,1.0441,1.1979,0.29404,1.5827,0.44377,2.2645,0.42507,1.2363,0.91969,0.82214,1.0447,0.53376,0.46801,0.6827,0.37545,3.0137,0.89191,0.64999,2.6552,1.1621,0.51493,0.4859,0.24297,0.30278,1.7149,0.44889,1.4896,1.5703,2.7416,0.62711,1.7027,2.3637,0.56166,0.52655,1.3677
1.1818,0.79773,1.0765,2.5703,1.982,1.4426,3.2482,1.7088,1.3822,0.52301,1.3719,0.76293,0.53214,3.7632,0.53661,0.48551,0.5244,1.6464,NA,2.0269,1.7852,2.4902,2.1699,1.2999,2.087,0.56496,3.0257,0.646,1.3008,0.8966,0.53709,0.73783,2.0903,0.64957,0.59081,NA,2.1799,0.66583,2.0287,1.1326,0.67654,0.56558,3.8378,1.2437,1.3174,1.2225,0.83811,1.3776,1.2263,1.3001,3.9944,0.46477,2.8907,2.1307,1.385,2.4204,0.884,0.76323,1.1925,0.69795,0.63359,0.57706,0.96965,0.40356,1.3891,0.5087,1.1406,2.4011,0.38113,1.8786,1.1334,0.53565,0.88559,2.7166,0.99597,0.72456,0.32668,2.0724,0.9415,0.60675,0.88015,1.8729,1.7473,1.7523,1.2377,0.38107,1.5309,1.9057,1.0833,1.2323
0.99054,NA,1.8074,1.468,2.8844,1.1846,2.2182,1.4414,3.1906,1.6447,1.9764,2.1084,1.9371,1.421,2.3108,1.3891,1.6823,1.6272,1.9023,1.8557,1.593,1.5985,2.2754,1.7976,2.665,1.3865,2.3625,1.4609,1.6591,1.3766,1.565,1.906,1.4922,1.2535,2.1965,1.0463,1.3086,1.8513,1.6992,1.2325,2.4701,1.7805,1.1192,1.111,2.183,1.4023,2.0602,1.4603,2.5849,1.4856,1.1463,1.6538,1.8433,1.4055,1.8,2.3141,1.0714,2.6089,2.4491,1.1637,1.1836,1.335,2.2311,1.0671,2.0516,1.6247,1.7511,1.3095,2.2086,1.675,1.6291,1.9517,1.3432,1.2733,1.1147,1.6527,1.3115,1.6007,1.2809,1.1418,2.4749,1.2714,1.5793,1.8136,1.3561,2.4474,2.6885,1.5348,1.7013,2.5596
2.2394,2.4446,2.5983,2.0708,2.0452,1.3764,2.9371,2.3864,1.9763,NA,2.0553,1.2585,2.055,1.9503,2.1482,1.749,2.0899,2.723,2.2543,1.3416,1.804,1.7021,2.3548,1.202,1.4596,1.5479,1.239,1.5387,2.0337,0.86233,1.655,1.1544,0.90526,1.4595,1.8926,1.3658,NA,1.6233,1.5313,1.4484,1.7844,2.155,1.305,2.5636,3.619,1.4858,1.6995,1.5068,2.3808,1.2908,2.5125,2.0343,1.5576,1.4843,3.2641,1.295,2.1592,3.0692,0.9792,0.93911,1.7152,1.5979,2.1255,1.9487,2.9991,1.0651,2.6724,1.1754,3.5073,1.1962,1.5755,1.4,1.8372,1.5935,1.5846,1.3838,2.7463,3.1654,0.90678,1.1967,1.2997,1.6891,1.8978,1.8575,2.8486,1.4555,1.5191,2.1065,2.2883,1.6456
1.5109,1.0342,2.0744,1.2992,3.5871,1.8276,3.5387,1.1708,3.0854,1.2787,2.8969,2.976,1.6447,1.5014,2.2121,2.5686,1.6169,1.4837,1.0045,2.7385,1.9766,1.7481,2.3104,1.2063,2.0689,1.5425,1.867,2.5511,1.0158,1.7482,1.9069,1.6477,2.2948,1.435,2.7211,1.3753,2.1865,2.7851,1.4935,2.172,2.0463,1.6905,1.571,1.138,2.3616,2.2252,1.7771,2.3182,1.9705,2.1904,1.1536,1.821,1.5121,1.4884,2.2733,1.2333,2.1704,1.3793,2.7858,1.4539,1.7524,1.7789,2.1599,1.1052,2.2621,1.5026,1.1944,1.6285,1.6029,1.8958,1.8191,2.3844,2.4681,1.0752,1.3985,1.5226,2.3462,1.0352,1.8706,1.821,1.5343,1.1216,1.7548,1.7721,1.1432,2.2253,2.5071,3.1471,2.0878,2.435
0.46273,0.94069,0.80487,1.6538,0.621,0.83455,1.372,0.948,0.89099,1.5005,0.94622,0.71041,2.1235,1.647,0.93543,1.783,1.2684,1.0896,1.4111,0.70275,0.7129,1.7016,1.0671,0.75974,0.9135,1.1508,2.0983,1.2205,0.82653,0.75123,0.57362,1.0762,0.92593,1.555,0.95388,0.91977,0.8022,2.3025,2.0595,1.609,0.72043,1.95,0.68668,0.7738,1.9415,0.70778,0.62353,1.5846,1.0787,0.819,1.4153,0.81303,1.8604,0.7775,0.64327,0.85548,0.485,0.81543,0.6516,0.58838,1.6945,0.54108,0.60655,1.5315,0.67497,0.96464,0.42207,0.71383,1.9002,0.87732,0.62957,0.55721,1.1843,0.93582,1.245,1.1815,0.94554,0.49056,0.6767,1.2449,0.51401,0.89981,0.53118,0.64673,1.3356,0.84799,0.38966,0.91884,1.25,1.4727
1.3908,1.643,2.6486,2.3056,3.5096,2.2074,2.0715,2.6269,2.9231,2.5841,2.3531,2.2268,NA,2.7287,2.1277,1.9102,2.6835,1.8482,1.5223,2.8573,2.2992,NA,2.3852,2.4629,1.0626,1.1617,2.2567,3.3828,2.8278,1.3931,1.6548,1.2533,1.2331,2.0526,1.3722,1.7283,2.2966,1.6463,2.222,1.6085,1.2568,1.828,1.9275,2.7539,3.0127,2.2509,1.6899,1.4754,2.0517,2.6306,1.1494,1.636,1.4183,1.2063,1.791,1.7821,1.8301,1.7258,1.5496,1.4285,1.843,1.3086,1.3068,1.3368,3.0061,1.2727,2.3325,1.7533,1.7643,1.7421,1.0088,2.0052,1.665,1.6883,1.6061,1.5958,1.5773,2.8549,1.4016,2.332,1.1215,2.1054,2.0737,1.9955,2.079,1.5746,2.7123,1.9646,3.3724,1.4809
