1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1.6286,2.6152,2.6756,2.1356,3.4039,2.0942,2.969,2.1123,2.387,1.8796,4.1739,2.7236,1.7158,2.1076,1.552,1.7568,1.8082,2.4282,1.2655,1.913,2.938,1.674,1.6226,1.5351,1.6615,1.2299,1.7157,3.0601,2.4372,1.3985
0.57818,0.89862,2.7267,NA,2.5993,2.8947,0.97028,0.9534,1.6563,1.079,2.233,1.522,1.3646,1.4314,NA,2.1938,1.1975,0.8083,1.0311,0.19605,0.52919,1.8435,0.85025,0.51083,1.0568,1.0665,0.93626,1.1224,2.7395,1.9307
2.6941,2.2238,1.6354,2.6577,1.6063,2.4576,2.9946,1.8244,2.0925,1.4603,2.4379,1.5847,1.703,1.4077,2.2711,3.1134,2.0475,1.7438,1.8016,1.8028,1.6696,1.7316,1.5442,1.0533,1.7126,1.0328,2.3429,1.7984,2.6526,1.937
0.89109,1.4944,2.5751,1.499,1.2202,1.5462,1.1057,1.8105,1.551,0.63854,1.8797,0.6653,2.6838,1.2567,2.47,1.2488,1.6211,1.6311,1.4872,1.3048,3.0611,1.1774,1.7756,1.1022,0.75618,1.1401,2.0972,1.068,1.9372,0.98981
1.0507,1.1439,1.4951,NA,2.1872,1.7272,2.1077,3.6742,1.3595,2.6151,1.4795,1.4372,2.4522,1.3337,2.3504,0.97157,1.8491,1.381,1.3047,1.7063,1.2601,4.0366,1.213,2.1859,2.0837,1.2658,1.9672,1.1158,1.1008,1.9437
1.0083,1.4281,1.4951,2.3463,3.1825,0.93121,1.5945,1.7102,1.3449,1.0116,2.6745,1.6346,1.0919,1.4356,1.6591,0.96019,1.6126,2.636,2.7834,1.2723,1.9469,1.1409,1.4309,3.5221,1.5051,1.3945,1.314,1.3505,2.6443,1.4926
1.5411,2.8525,1.8691,1.7327,2.2357,NA,2.8644,2.5154,1.837,1.9819,5.1685,1.0347,2.0615,1.9911,1.9669,0.97459,2.0189,3.354,2.1881,0.81106,0.90503,0.2441,1.2448,1.9908,2.2764,0.95443,1.9808,2.617,0.10167,0.93957
1.3966,1.0395,0.72162,NA,1.2241,1.387,1.0345,1.3546,1.2655,0.63735,2.7953,0.93455,NA,0.57554,1.0666,0.50708,1.0829,0.42021,0.99778,1.1442,0.43626,0.61021,0.6105,0.38737,0.37648,0.55036,0.4661,0.61773,0.44972,0.36703
2.2697,1.6112,2.8305,2.1194,2.4033,1.8467,1.8204,1.7366,1.5308,2.9446,1.1874,1.9203,1.6641,1.79,2.4384,1.7252,1.9037,2.3896,1.3155,2.3142,1.9284,1.8174,2.3166,1.9523,1.866,2.4633,1.8037,2.3742,1.5026,2.018
1.5279,1.7599,1.5004,1.8181,2.1659,1.2057,1.9943,1.5088,2.1455,2.4109,1.3381,1.4146,1.1172,1.8447,1.1663,1.6679,3.0691,1.709,1.4729,3.6312,2.8658,NA,2.1073,2.3551,1.4201,1.3581,1.9104,1.2938,2.2731,3.9864
1.3012,2.6358,2.1076,2.5626,1.7672,1.4325,1.389,2.2387,2.0356,2.8148,2.1629,2.2077,2.2198,1.5811,1.2948,1.3353,1.2931,1.2389,3.0829,1.6215,1.724,2.4115,1.7971,2.0921,0.9508,1.7778,1.7136,1.2003,2.0313,1.8777
2.4602,1.8116,1.6807,1.3108,1.6592,1.4133,1.7701,2.9999,1.4743,1.508,0.9025,1.0267,1.7307,1.9101,2.0984,2.3021,2.259,1.1366,1.485,1.7896,1.4655,1.4597,1.6744,1.8662,1.1525,1.3277,1.358,1.2929,1.2384,1.1914
